SubSystem;Name;CEID;Description;Available VIDs
GeminiFB.PP1.C.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Start;30002;Is triggered on start.;30012, 30043, 30048, 30047, 30049, 30051, 30052, 30050
GeminiFB.PP1.C.CLM.CleaningProcess;CleaningProcess.End;30003;Is triggered on end.;30142, 30118, 30149, 30154, 30153, 30155, 30157, 30158, 30156, 30124, 30123, 30122, 30125, 30140, 30139, 30138, 30141, 30136, 30135, 30134, 30137, 30152, 30151, 30150, 30145, 30144, 30143, 30148, 30147, 30146, 30161, 30160, 30159, 30164, 30163, 30162, 30167, 30166, 30165, 30170, 30169, 30168, 30109, 30108, 30107, 30110, 30121, 30120, 30119, 30117, 30116, 30115, 30113, 30112, 30111, 30114
GeminiFB.PP1.C.CLM.CleaningProcess;CleaningProcess.Start;30004;Is triggered on start.;30118, 30149, 30154, 30153, 30155, 30157, 30158, 30156
GeminiFB.PP1.C.CLM.MaintenanceCleaningProcess;MaintenanceCleaningProcess.End;30005;Is triggered on end.;30478, 30454, 30485, 30490, 30489, 30491, 30493, 30494, 30492, 30460, 30459, 30458, 30461, 30476, 30475, 30474, 30477, 30472, 30471, 30470, 30473, 30488, 30487, 30486, 30481, 30480, 30479, 30484, 30483, 30482, 30497, 30496, 30495, 30500, 30499, 30498, 30503, 30502, 30501, 30506, 30505, 30504, 30445, 30444, 30443, 30446, 30457, 30456, 30455, 30453, 30452, 30451, 30449, 30448, 30447, 30450
GeminiFB.PP1.C.CLM.MaintenanceCleaningProcess;MaintenanceCleaningProcess.Start;30006;Is triggered on start.;30454, 30485, 30490, 30489, 30491, 30493, 30494, 30492
GeminiFB.PP1.C.CLM;ModuleServiceStateChanged;30007;Is triggered when the service state changed.;30508, 30512
GeminiFB.PP1.C.CLM;ModuleServiceSubstateChanged;30008;Is triggered when the service substate changed.;30509, 30513
GeminiFB.PP1.C.CLM;ProcessInfo.ProcessFinished;30009;Triggered when a process has finished;30521, 30518, 30526, 30528, 30530, 30519, 30527, 30529, 30531, 30525
GeminiFB.PP1.C.CLM;ProcessInfo.ProcessStarted;30010;Triggered when a process is started;30521, 30518, 30526, 30528, 30530, 30519, 30527, 30529, 30531, 30525
GeminiFB.PP1.C.CLM;ProcessInfo.RecipeStepFinished;30011;Triggered when a recipe step has finished;30524, 30523
GeminiFB.PP1.C.CLM;ProcessInfo.RecipeStepStarted;30012;Triggered when a recipe step is started;30524, 30523
GeminiFB.PP1.C.CLM;MachineOperation.InitializeModule.End;30637;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;30601
GeminiFB.PP1.C.CLM;MachineOperation.InitializeModule.Start;30638;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP1.C.CLM;MachineOperation.ShutDownModule.End;30639;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;30602
GeminiFB.PP1.C.CLM;MachineOperation.ShutDownModule.Start;30640;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.End;50001;Is triggered on end.;50036, 50012, 50043, 50048, 50047, 50049, 50051, 50052, 50050, 50018, 50017, 50016, 50019, 50034, 50033, 50032, 50035, 50030, 50029, 50028, 50031, 50046, 50045, 50044, 50039, 50038, 50037, 50042, 50041, 50040, 50055, 50054, 50053, 50058, 50057, 50056, 50061, 50060, 50059, 50064, 50063, 50062, 50003, 50002, 50001, 50004, 50015, 50014, 50013, 50011, 50010, 50009, 50007, 50006, 50005, 50008
GeminiFB.PP2.A.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Start;50002;Is triggered on start.;50012, 50043, 50048, 50047, 50049, 50051, 50052, 50050
GeminiFB.PP2.A.CLM.CleaningProcess;CleaningProcess.End;50003;Is triggered on end.;50142, 50118, 50149, 50154, 50153, 50155, 50157, 50158, 50156, 50124, 50123, 50122, 50125, 50140, 50139, 50138, 50141, 50136, 50135, 50134, 50137, 50152, 50151, 50150, 50145, 50144, 50143, 50148, 50147, 50146, 50161, 50160, 50159, 50164, 50163, 50162, 50167, 50166, 50165, 50170, 50169, 50168, 50109, 50108, 50107, 50110, 50121, 50120, 50119, 50117, 50116, 50115, 50113, 50112, 50111, 50114
GeminiFB.PP2.A.CLM.CleaningProcess;CleaningProcess.Start;50004;Is triggered on start.;50118, 50149, 50154, 50153, 50155, 50157, 50158, 50156
GeminiFB.PP2.A.CLM.MaintenanceCleaningProcess;MaintenanceCleaningProcess.End;50005;Is triggered on end.;50478, 50454, 50485, 50490, 50489, 50491, 50493, 50494, 50492, 50460, 50459, 50458, 50461, 50476, 50475, 50474, 50477, 50472, 50471, 50470, 50473, 50488, 50487, 50486, 50481, 50480, 50479, 50484, 50483, 50482, 50497, 50496, 50495, 50500, 50499, 50498, 50503, 50502, 50501, 50506, 50505, 50504, 50445, 50444, 50443, 50446, 50457, 50456, 50455, 50453, 50452, 50451, 50449, 50448, 50447, 50450
GeminiFB.PP2.A.CLM.MaintenanceCleaningProcess;MaintenanceCleaningProcess.Start;50006;Is triggered on start.;50454, 50485, 50490, 50489, 50491, 50493, 50494, 50492
GeminiFB.PP2.A.CLM;ModuleServiceStateChanged;50007;Is triggered when the service state changed.;50508, 50512
GeminiFB.PP2.A.CLM;ModuleServiceSubstateChanged;50008;Is triggered when the service substate changed.;50509, 50513
GeminiFB.PP2.A.CLM;ProcessInfo.ProcessFinished;50009;Triggered when a process has finished;50521, 50518, 50526, 50528, 50530, 50519, 50527, 50529, 50531, 50525
GeminiFB.PP2.A.CLM;ProcessInfo.ProcessStarted;50010;Triggered when a process is started;50521, 50518, 50526, 50528, 50530, 50519, 50527, 50529, 50531, 50525
GeminiFB.PP2.A.CLM;ProcessInfo.RecipeStepFinished;50011;Triggered when a recipe step has finished;50524, 50523
GeminiFB.PP2.A.CLM;ProcessInfo.RecipeStepStarted;50012;Triggered when a recipe step is started;50524, 50523
GeminiFB.PP2.A.CLM;MachineOperation.InitializeModule.End;50637;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;50601
GeminiFB.PP2.A.CLM;MachineOperation.InitializeModule.Start;50638;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.A.CLM;MachineOperation.ShutDownModule.End;50639;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;50602
GeminiFB.PP2.A.CLM;MachineOperation.ShutDownModule.Start;50640;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.B.EAM;AlignmentCompleted;70001;Alignment completed successfully.;70012, 70013, 70014, 70015, 70010, 70011, 70009, 70016, 70004, 70005, 70006, 70007, 70002, 70003, 70001, 70008
GeminiFB.PP2.B.EAM;AlignmentNotSuccessful;70002;Alignment not completed successfully.;
GeminiFB.PP2.B.EAM;AlignmentStarting;70003;Alignment is starting.;
GeminiFB.PP2.B.EAM;Fusionbondcompleted;70004;Fusion bond completed.;
GeminiFB.PP2.B.EAM;Fusionbondfailed;70005;Fusion bond failed.;
GeminiFB.PP2.B.EAM;Fusionbondstarted;70006;Fusion bond starting.;
GeminiFB.PP2.B.EAM;MeasurementAfterClampingCompleted;70007;Measurement after clamping completed successfully.;70284, 70285, 70286, 70287, 70282, 70283, 70281, 70288
GeminiFB.PP2.B.EAM;MeasurementAfterClampingNotSuccessful;70008;Measurement after clamping not completed successfully.;
GeminiFB.PP2.B.EAM;MeasurementAfterClampingStarting;70009;Measurement after clamping is starting.;
GeminiFB.PP2.B.EAM;MeasurementCompleted;70010;Measurement completed successfully.;70276, 70277, 70278, 70279, 70274, 70275, 70273, 70280
GeminiFB.PP2.B.EAM;MeasurementNotSuccessful;70011;Measurement not completed successfully.;
GeminiFB.PP2.B.EAM;MeasurementStarting;70012;Measurement is starting.;
GeminiFB.PP2.B.EAM;ModuleServiceStateChanged;70013;Is triggered when the service state changed.;70289, 70291
GeminiFB.PP2.B.EAM;ModuleServiceSubstateChanged;70014;Is triggered when the service substate changed.;70290, 70292
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB;DoubleStackFB.End;70015;Is triggered on end.;70311, 70325, 70326, 70327, 70315, 70317, 70316, 70318, 70302, 70303, 70301, 70314, 70312, 70874, 70875, 71209, 70872, 70873, 71208, 70876, 71210, 70310, 70313, 70320, 70319, 70321, 70323, 70324, 70322, 70305, 70304, 70306, 70308, 70309, 70307
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB;DoubleStackFB.Start;70016;Is triggered on start.;70310, 70313, 70320, 70319, 70321, 70323, 70324, 70322, 70305, 70304, 70306, 70308, 70309, 70307
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB.EdgeAlignment;BottomAlignmentCompleted;70017;This event will be triggered when the alignment completes.;
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB.EdgeAlignment;BottomAlignmentStarted;70018;This event will be triggered when the alignment starts.;
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB.EdgeAlignment;TopAlignmentCompleted;70019;This event will be triggered when the alignment completes.;
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB.EdgeAlignment;TopAlignmentStarted;70020;This event will be triggered when the alignment starts.;
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB.SlideOffDetection;DetectionCompleted;70021;This event will be triggered when the detection completes.;
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB.SlideOffDetection;DetectionStarted;70022;This event will be triggered when the detection starts.;
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB.SlideOffDetection;ReferencingCompleted;70023;This event will be triggered when referencing completes.;
GeminiFB.PP2.B.EAM.Processes.DoubleStackFB.SlideOffDetection;ReferencingStarted;70024;This event will be triggered when referencing starts.;
GeminiFB.PP2.B.EAM;ProcessInfo.ProcessFinished;70025;Triggered when a process has finished;70370, 70367, 70375, 70377, 70379, 70368, 70376, 70378, 70380, 70374
GeminiFB.PP2.B.EAM;ProcessInfo.ProcessStarted;70026;Triggered when a process is started;70370, 70367, 70375, 70377, 70379, 70368, 70376, 70378, 70380, 70374
GeminiFB.PP2.B.EAM;ProcessInfo.RecipeStepFinished;70027;Triggered when a recipe step has finished;70373, 70372
GeminiFB.PP2.B.EAM;ProcessInfo.RecipeStepStarted;70028;Triggered when a recipe step is started;70373, 70372
GeminiFB.PP2.B.EAM;WECApplied;70029;WEC applied successfully with WEC database value.;70386, 70387, 70388
GeminiFB.PP2.B.EAM;WECCompleted;70030;WEC determination completed successfully.;
GeminiFB.PP2.B.EAM;WECNotSuccessful;70031;WEC determination not completed successfully.;
GeminiFB.PP2.B.EAM;WECStarting;70032;WEC is starting.;
GeminiFB.PP2.B.EAM;MachineOperation.InitializeModule.End;72022;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;71461
GeminiFB.PP2.B.EAM;MachineOperation.InitializeModule.Start;72023;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.B.EAM;MachineOperation.ShutDownModule.End;72024;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;71462
GeminiFB.PP2.B.EAM;MachineOperation.ShutDownModule.Start;72025;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.C.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.End;100001;Is triggered on end.;100036, 100012, 100043, 100048, 100047, 100049, 100051, 100052, 100050, 100018, 100017, 100016, 100019, 100034, 100033, 100032, 100035, 100030, 100029, 100028, 100031, 100046, 100045, 100044, 100039, 100038, 100037, 100042, 100041, 100040, 100055, 100054, 100053, 100058, 100057, 100056, 100061, 100060, 100059, 100064, 100063, 100062, 100003, 100002, 100001, 100004, 100015, 100014, 100013, 100011, 100010, 100009, 100007, 100006, 100005, 100008
GeminiFB.PP2.C.CLM.AlternativeFlowCleanupProcess;AlternativeFlowCleanupProcess.Start;100002;Is triggered on start.;100012, 100043, 100048, 100047, 100049, 100051, 100052, 100050
GeminiFB.PP2.C.CLM.CleaningProcess;CleaningProcess.End;100003;Is triggered on end.;100142, 100118, 100149, 100154, 100153, 100155, 100157, 100158, 100156, 100124, 100123, 100122, 100125, 100140, 100139, 100138, 100141, 100136, 100135, 100134, 100137, 100152, 100151, 100150, 100145, 100144, 100143, 100148, 100147, 100146, 100161, 100160, 100159, 100164, 100163, 100162, 100167, 100166, 100165, 100170, 100169, 100168, 100109, 100108, 100107, 100110, 100121, 100120, 100119, 100117, 100116, 100115, 100113, 100112, 100111, 100114
GeminiFB.PP2.C.CLM.CleaningProcess;CleaningProcess.Start;100004;Is triggered on start.;100118, 100149, 100154, 100153, 100155, 100157, 100158, 100156
GeminiFB.PP2.C.CLM.MaintenanceCleaningProcess;MaintenanceCleaningProcess.End;100005;Is triggered on end.;100478, 100454, 100485, 100490, 100489, 100491, 100493, 100494, 100492, 100460, 100459, 100458, 100461, 100476, 100475, 100474, 100477, 100472, 100471, 100470, 100473, 100488, 100487, 100486, 100481, 100480, 100479, 100484, 100483, 100482, 100497, 100496, 100495, 100500, 100499, 100498, 100503, 100502, 100501, 100506, 100505, 100504, 100445, 100444, 100443, 100446, 100457, 100456, 100455, 100453, 100452, 100451, 100449, 100448, 100447, 100450
GeminiFB.PP2.C.CLM.MaintenanceCleaningProcess;MaintenanceCleaningProcess.Start;100006;Is triggered on start.;100454, 100485, 100490, 100489, 100491, 100493, 100494, 100492
GeminiFB.PP2.C.CLM;ModuleServiceStateChanged;100007;Is triggered when the service state changed.;100508, 100512
GeminiFB.PP2.C.CLM;ModuleServiceSubstateChanged;100008;Is triggered when the service substate changed.;100509, 100513
GeminiFB.PP2.C.CLM;ProcessInfo.ProcessFinished;100009;Triggered when a process has finished;100521, 100518, 100526, 100528, 100530, 100519, 100527, 100529, 100531, 100525
GeminiFB.PP2.C.CLM;ProcessInfo.ProcessStarted;100010;Triggered when a process is started;100521, 100518, 100526, 100528, 100530, 100519, 100527, 100529, 100531, 100525
GeminiFB.PP2.C.CLM;ProcessInfo.RecipeStepFinished;100011;Triggered when a recipe step has finished;100524, 100523
GeminiFB.PP2.C.CLM;ProcessInfo.RecipeStepStarted;100012;Triggered when a recipe step is started;100524, 100523
GeminiFB.PP2.C.CLM;MachineOperation.InitializeModule.End;100637;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;100601
GeminiFB.PP2.C.CLM;MachineOperation.InitializeModule.Start;100638;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.C.CLM;MachineOperation.ShutDownModule.End;100639;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;100602
GeminiFB.PP2.C.CLM;MachineOperation.ShutDownModule.Start;100640;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.PP2.D.EAM;AlignmentCompleted;120001;Alignment completed successfully.;120012, 120013, 120014, 120015, 120010, 120011, 120009, 120016, 120004, 120005, 120006, 120007, 120002, 120003, 120001, 120008
GeminiFB.PP2.D.EAM;AlignmentNotSuccessful;120002;Alignment not completed successfully.;
GeminiFB.PP2.D.EAM;AlignmentStarting;120003;Alignment is starting.;
GeminiFB.PP2.D.EAM;Fusionbondcompleted;120004;Fusion bond completed.;
GeminiFB.PP2.D.EAM;Fusionbondfailed;120005;Fusion bond failed.;
GeminiFB.PP2.D.EAM;Fusionbondstarted;120006;Fusion bond starting.;
GeminiFB.PP2.D.EAM;MeasurementAfterClampingCompleted;120007;Measurement after clamping completed successfully.;120284, 120285, 120286, 120287, 120282, 120283, 120281, 120288
GeminiFB.PP2.D.EAM;MeasurementAfterClampingNotSuccessful;120008;Measurement after clamping not completed successfully.;
GeminiFB.PP2.D.EAM;MeasurementAfterClampingStarting;120009;Measurement after clamping is starting.;
GeminiFB.PP2.D.EAM;MeasurementCompleted;120010;Measurement completed successfully.;120276, 120277, 120278, 120279, 120274, 120275, 120273, 120280
GeminiFB.PP2.D.EAM;MeasurementNotSuccessful;120011;Measurement not completed successfully.;
GeminiFB.PP2.D.EAM;MeasurementStarting;120012;Measurement is starting.;
GeminiFB.PP2.D.EAM;ModuleServiceStateChanged;120013;Is triggered when the service state changed.;120289, 120291
GeminiFB.PP2.D.EAM;ModuleServiceSubstateChanged;120014;Is triggered when the service substate changed.;120290, 120292
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB;DoubleStackFB.End;120015;Is triggered on end.;120311, 120325, 120326, 120327, 120315, 120317, 120316, 120318, 120302, 120303, 120301, 120314, 120312, 120874, 120875, 121223, 120872, 120873, 121222, 120876, 121224, 120310, 120313, 120320, 120319, 120321, 120323, 120324, 120322, 120305, 120304, 120306, 120308, 120309, 120307
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB;DoubleStackFB.Start;120016;Is triggered on start.;120310, 120313, 120320, 120319, 120321, 120323, 120324, 120322, 120305, 120304, 120306, 120308, 120309, 120307
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB.EdgeAlignment;BottomAlignmentCompleted;120017;This event will be triggered when the alignment completes.;
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB.EdgeAlignment;BottomAlignmentStarted;120018;This event will be triggered when the alignment starts.;
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB.EdgeAlignment;TopAlignmentCompleted;120019;This event will be triggered when the alignment completes.;
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB.EdgeAlignment;TopAlignmentStarted;120020;This event will be triggered when the alignment starts.;
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB.SlideOffDetection;DetectionCompleted;120021;This event will be triggered when the detection completes.;
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB.SlideOffDetection;DetectionStarted;120022;This event will be triggered when the detection starts.;
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB.SlideOffDetection;ReferencingCompleted;120023;This event will be triggered when referencing completes.;
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB.SlideOffDetection;ReferencingStarted;120024;This event will be triggered when referencing starts.;
GeminiFB.PP2.D.EAM;ProcessInfo.ProcessFinished;120025;Triggered when a process has finished;120370, 120367, 120375, 120377, 120379, 120368, 120376, 120378, 120380, 120374
GeminiFB.PP2.D.EAM;ProcessInfo.ProcessStarted;120026;Triggered when a process is started;120370, 120367, 120375, 120377, 120379, 120368, 120376, 120378, 120380, 120374
GeminiFB.PP2.D.EAM;ProcessInfo.RecipeStepFinished;120027;Triggered when a recipe step has finished;120373, 120372
GeminiFB.PP2.D.EAM;ProcessInfo.RecipeStepStarted;120028;Triggered when a recipe step is started;120373, 120372
GeminiFB.PP2.D.EAM;WECApplied;120029;WEC applied successfully with WEC database value.;120386, 120387, 120388
GeminiFB.PP2.D.EAM;WECCompleted;120030;WEC determination completed successfully.;
GeminiFB.PP2.D.EAM;WECNotSuccessful;120031;WEC determination not completed successfully.;
GeminiFB.PP2.D.EAM;WECStarting;120032;WEC is starting.;
GeminiFB.PP2.D.EAM;MachineOperation.InitializeModule.End;121941;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;121424
GeminiFB.PP2.D.EAM;MachineOperation.InitializeModule.Start;121942;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.PP2.D.EAM;MachineOperation.ShutDownModule.End;121943;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;121425
GeminiFB.PP2.D.EAM;MachineOperation.ShutDownModule.Start;121944;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.DispenseMaterialManagementSystem;ChangeMaterialCompleted;201001;Changing Material Completed;201003, 201004, 201002
GeminiFB.DispenseMaterialManagementSystem;ChangeMaterialStarted;201002;Changing Material Started;201003, 201004, 201002
GeminiFB.DispenseMaterialManagementSystem;VerifyMaterial;201003;Verify Material;201003, 201004, 201002
GeminiFB.EFEM.LP1;MaterialEnd;203001;Material ended;203053, 203056, 203054, 203052, 203055, 203057, 203058
GeminiFB.EFEM.LP1;MaterialStart;203002;Material started;203053, 203056, 203054, 203052, 203055, 203057, 203058
GeminiFB.EFEM.LP1;ModuleServiceStateChanged;203003;Is triggered when the service state changed.;203060, 203062
GeminiFB.EFEM.LP1;ModuleServiceSubstateChanged;203004;Is triggered when the service substate changed.;203061, 203063
GeminiFB.EFEM.LP1;MachineOperation.InitializeModule.End;203083;Event that is triggered when the operation ends (independent of result). Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;203070
GeminiFB.EFEM.LP1;MachineOperation.InitializeModule.Start;203084;Event that is triggered when the operation starts. Operation=InitializeModule, Description=Initialization of module and all its subsystems to be ready for usage.;
GeminiFB.EFEM.LP1;MachineOperation.ShutDownModule.End;203085;Event that is triggered when the operation ends (independent of result). Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;203071
GeminiFB.EFEM.LP1;MachineOperation.ShutDownModule.Start;203089;Event that is triggered when the operation starts. Operation=ShutDownModule, Description=Shutdown of module and all its subsystems. The module can no longer be used for processing.;
GeminiFB.EFEM.LP2;MaterialEnd;204001;Material ended;204053, 204056, 204054, 204052, 204055, 204057, 204058
GeminiFB.EFEM.LP2;MaterialStart;204002;Material started;204053, 204056, 204054, 204052, 204055, 204057, 204058
GeminiFB.EFEM.LP2;ModuleServiceStateChanged;204003;Is triggered when the service state changed.;204060, 204062
